"Deck","Front","Back","Japanese","Hiragana","English","Example_JP","Example_Hiragana","Example_EN","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN","Tags","Notes"
"03_nlp_llm","翻訳（ほんやく）","translation<br><b>Example</b>: 日本語に翻訳する。 / にほんごにほんやくする。 / Translate into Japanese.","翻訳","ほんやく","translation","えいごに翻訳します。","えいごにほんやくします。","We'll translate it into English.","このぶんをえいごに翻訳します。","このぶんをえいごにほんやくします。","We'll translate this sentence into English.","翻訳のしつをくらべます。","ほんやくのしつをくらべます。","We'll compare translation quality.","03_nlp_llm",""
"03_nlp_llm","意図（いと）","intent<br><b>Example</b>: ユーザーの意図を推定する。 / ゆーざーのいとをすいていする。 / Infer user intent.","意図","いと","intent","ゆーざーの意図をりかいします。","ゆーざーのいとをりかいします。","We'll understand the user's intent.","ゆーざーの意図をりかいします。","ゆーざーのいとをりかいします。","We'll understand the user's intent.","意図がちがうとけっかがかわります。","いとがちがうとけっかがかわります。","If the intent differs the result changes.","03_nlp_llm",""
"03_nlp_llm","評価データ（ひょうかでーた）","evaluation dataset<br><b>Example</b>: 評価データを更新する。 / ひょうかでーたをこうしんする。 / Update the eval set.","評価データ","ひょうかでーた","evaluation dataset","評価データをよういします。","ひょうかでーたをよういします。","We'll prepare evaluation data.","評価データをよういします。","ひょうかでーたをよういします。","We'll prepare evaluation data.","評価データでさいげんせいをかくにんします。","ひょうかでーたでさいげんせいをかくにんします。","We'll check reproducibility with evaluation data.","03_nlp_llm",""
"04_metrics_validation","検証（けんしょう）","validation / verification<br><b>Example</b>: 仮説を検証する。 / かせつをけんしょうする。 / Verify the hypothesis.","検証","けんしょう","validation / verification","検証のためにてすとします。","けんしょうのためにてすとします。","We'll run tests for validation.","検証のためにてすとをします。","けんしょうのためにてすとをします。","We'll run tests for validation.","検証のけっかをきろくします。","けんしょうのけっかをきろくします。","We'll record the validation results.","04_metrics_validation",""
"04_metrics_validation","交差検証（こうさけんしょう）","cross-validation<br><b>Example</b>: 交差検証で安定性を見る。 / こうさけんしょうであんていせいをみる。 / Check stability with cross-validation.","交差検証","こうさけんしょう","cross-validation","交差検証を5ふぉーるどでまわします。","こうさけんしょうを5ふぉーるどでまわします。","We'll run 5-fold cross-validation.","交差検証でぶれをみます。","こうさけんしょうでぶれをみます。","We'll use cross-validation to see variance.","交差検証を5ぶんかつでまわします。","こうさけんしょうを5ぶんかつでまわします。","We'll run 5-fold cross-validation.","04_metrics_validation",""
"04_metrics_validation","ベンチマーク（べんちまーく）","benchmark<br><b>Example</b>: ベンチマークを更新する。 / べんちまーくをこうしんする。 / Update the benchmark.","ベンチマーク","べんちまーく","benchmark","ベンチマークでくらべます。","べんちまーくでくらべます。","We'll compare against a benchmark.","ベンチマークでせいのうをくらべます。","べんちまーくでせいのうをくらべます。","We'll compare performance with a benchmark.","ベンチマークのじょうけんをそろえます。","べんちまーくのじょうけんをそろえます。","We'll keep benchmark conditions consistent.","04_metrics_validation",""
"04_metrics_validation","指標（しひょう）","metric / indicator<br><b>Example</b>: 指標を定義する。 / しひょうをていぎする。 / Define the metric.","指標","しひょう","metric / indicator","指標をきめます。","しひょうをきめます。","We'll decide the metric.","指標をきめます。","しひょうをきめます。","We'll decide the metric.","指標はひとつだけにしません。","しひょうはひとつだけにしません。","We won't rely on a single metric.","04_metrics_validation",""
"04_metrics_validation","適合率（てきごうりつ）","precision<br><b>Example</b>: 適合率を優先する。 / てきごうりつをゆうせんする。 / Prioritize precision.","適合率","てきごうりつ","precision","適合率をあげます。","てきごうりつをあげます。","We'll increase precision.","適合率をあげたいです。","てきごうりつをあげたいです。","We want higher precision.","適合率とさいげんりつのばらんすをとります。","てきごうりつとさいげんりつのばらんすをとります。","We'll balance precision and recall.","04_metrics_validation",""
"04_metrics_validation","再現率（さいげんりつ）","recall<br><b>Example</b>: 再現率が低い。 / さいげんりつがひくい。 / Recall is low.","再現率","さいげんりつ","recall","再現率をあげます。","さいげんりつをあげます。","We'll increase recall.","再現率をあげるとごけんしゅつもふえます。","さいげんりつをあげるとごけんしゅつもふえます。","Higher recall can increase false positives.","再現率をちょうせいします。","さいげんりつをちょうせいします。","We'll tune recall.","04_metrics_validation",""
"04_metrics_validation","F1スコア（えふわんすこあ）","F1 score<br><b>Example</b>: F1スコアで比較する。 / えふわんすこあでひかくする。 / Compare using F1.","F1スコア","えふわんすこあ","F1 score","F1スコアをみます。","えふわんすこあをみます。","We'll look at the F1 score.","F1スコアでばらんすをみます。","えふわんすこあでばらんすをみます。","We'll use F1 score to see the balance.","F1スコアがいちばんたかいしきいちをえらびます。","えふわんすこあがいちばんたかいしきいちをえらびます。","We'll pick the threshold with the best F1.","04_metrics_validation",""
"04_metrics_validation","混同行列（こんどうぎょうれつ）","confusion matrix<br><b>Example</b>: 混同行列を確認する。 / こんどうぎょうれつをかくにんする。 / Review the confusion matrix.","混同行列","こんどうぎょうれつ","confusion matrix","混同行列をつくります。","こんどうぎょうれつをつくります。","We'll build a confusion matrix.","混同行列でまちがいのぱたーんをみます。","こんどうぎょうれつでまちがいのぱたーんをみます。","We'll use a confusion matrix to see error patterns.","混同行列をれぽーとにのせます。","こんどうぎょうれつをれぽーとにのせます。","We'll include the confusion matrix in the report.","04_metrics_validation",""
"04_metrics_validation","誤差（ごさ）","error<br><b>Example</b>: 誤差が大きい。 / ごさがおおきい。 / The error is large.","誤差","ごさ","error","誤差をへらします。","ごさをへらします。","We'll reduce the error.","誤差のへんかをみます。","ごさのへんかをみます。","We'll watch how the error changes.","誤差がちいさいほどよいです。","ごさがちいさいほどよいです。","Smaller error is better.","04_metrics_validation",""
"04_metrics_validation","ばらつき（ばらつき）","variance / scatter<br><b>Example</b>: 結果にばらつきがある。 / けっかにばらつきがある。 / Results vary.","ばらつき","ばらつき","variance / scatter","ばらつきがおおいです。","ばらつきがおおいです。","There's a lot of variance.","ばらつきがおおきいとふあんていです。","ばらつきがおおきいとふあんていです。","Large variance means instability.","ばらつきをへらすためにでーたをふやします。","ばらつきをへらすためにでーたをふやします。","We'll add more data to reduce variance.","04_metrics_validation",""
"04_metrics_validation","信頼区間（しんらいくかん）","confidence interval<br><b>Example</b>: 信頼区間を出す。 / しんらいくかんをだす。 / Compute a confidence interval.","信頼区間","しんらいくかん","confidence interval","信頼区間をだします。","しんらいくかんをだします。","We'll report a confidence interval.","信頼区間をだしてせつめいします。","しんらいくかんをだしてせつめいします。","We'll present a confidence interval.","信頼区間がひろいとふあんです。","しんらいくかんがひろいとふあんです。","A wide confidence interval is concerning.","04_metrics_validation",""
"04_metrics_validation","閾値（しきいち）","threshold<br><b>Example</b>: 閾値を調整する。 / しきいちをちょうせいする。 / Tune the threshold.","閾値","しきいち","threshold","閾値をちょうせいします。","しきいちをちょうせいします。","We'll tune the threshold.","閾値をちょうせいします。","しきいちをちょうせいします。","We'll tune the threshold.","閾値をかえるとてきごうりつがかわります。","しきいちをかえるとてきごうりつがかわります。","Changing the threshold changes precision.","04_metrics_validation",""
"04_metrics_validation","データ漏洩（でーたろうえい）","data leakage<br><b>Example</b>: データ漏洩がないか確認する。 / でーたろうえいがないかかくにんする。 / Ensure there’s no leakage.","データ漏洩","でーたろうえい","data leakage","データ漏洩をふせぎます。","でーたろうえいをふせぎます。","We'll prevent data leakage.","データ漏洩をふせぎます。","でーたろうえいをふせぎます。","We'll prevent data leakage.","データ漏洩があるとひょうかがうそになります。","でーたろうえいがあるとひょうかがうそになります。","With data leakage the evaluation is misleading.","04_metrics_validation",""
"04_metrics_validation","再現性（さいげんせい）","reproducibility<br><b>Example</b>: 再現性を確保する。 / さいげんせいをかくほする。 / Ensure reproducibility.","再現性","さいげんせい","reproducibility","再現性をたかめます。","さいげんせいをたかめます。","We'll improve reproducibility.","再現性をたかめたいです。","さいげんせいをたかめたいです。","We want better reproducibility.","再現性のためにしーどをきろくします。","さいげんせいのためにしーどをきろくします。","We record seeds for reproducibility.","04_metrics_validation",""
"05_data_experimentation","データ（でーた）","data<br><b>Example</b>: データを収集する。 / でーたをしゅうしゅうする。 / Collect data.","データ","でーた","data","データをあつめます。","でーたをあつめます。","We'll collect data.","データをあつめます。","でーたをあつめます。","We'll collect data.","データのしつをかくにんします。","でーたのしつをかくにんします。","We'll check data quality.","05_data_experimentation",""
"05_data_experimentation","データセット（でーたせっと）","dataset<br><b>Example</b>: データセットを分割する。 / でーたせっとをぶんかつする。 / Split the dataset.","データセット","でーたせっと","dataset","データセットをわけます。","でーたせっとをわけます。","We'll split the dataset.","データセットをわけます。","でーたせっとをわけます。","We'll split the dataset.","データセットをこうかいしません。","でーたせっとをこうかいしません。","We won't publish the dataset.","05_data_experimentation",""
"05_data_experimentation","前処理（まえしょり）","preprocessing<br><b>Example</b>: 前処理を統一する。 / まえしょりをとういつする。 / Standardize preprocessing.","前処理","まえしょり","preprocessing","前処理でのいずをへらします。","まえしょりでのいずをへらします。","Preprocessing reduces noise.","前処理でのいずをへらします。","まえしょりでのいずをへらします。","Preprocessing reduces noise.","前処理のすてっぷをきろくします。","まえしょりのすてっぷをきろくします。","We'll document preprocessing steps.","05_data_experimentation",""
"05_data_experimentation","正規化（せいきか）","normalization<br><b>Example</b>: 入力を正規化する。 / にゅうりょくをせいきかする。 / Normalize inputs.","正規化","せいきか","normalization","正規化ですけーるをそろえます。","せいきかですけーるをそろえます。","Normalization aligns scales.","正規化ですけーるをそろえます。","せいきかですけーるをそろえます。","Normalization aligns scales.","正規化をするまえとあとでくらべます。","せいきかをするまえとあとでくらべます。","We'll compare before and after normalization.","05_data_experimentation",""
"05_data_experimentation","欠損（けっそん）","missing values<br><b>Example</b>: 欠損を補完する。 / けっそんをほかんする。 / Impute missing values.","欠損","けっそん","missing values","欠損をみつけます。","けっそんをみつけます。","We'll find missing values.","欠損があるれつをみつけます。","けっそんがあるれつをみつけます。","We'll find columns with missing values.","欠損はうめるかけずります。","けっそんはうめるかけずります。","We'll impute or drop missing values.","05_data_experimentation",""
"05_data_experimentation","外れ値（はずれち）","outlier<br><b>Example</b>: 外れ値を除外する。 / はずれちをじょがいする。 / Remove outliers.","外れ値","はずれち","outlier","外れ値をのぞきます。","はずれちをのぞきます。","We'll remove outliers.","外れ値をけんしゅつします。","はずれちをけんしゅつします。","We'll detect outliers.","外れ値をのぞいてひょうかします。","はずれちをのぞいてひょうかします。","We'll evaluate without outliers.","05_data_experimentation",""
"05_data_experimentation","サンプリング（さんぷりんぐ）","sampling<br><b>Example</b>: サンプリング方法を変える。 / さんぷりんぐほうほうをかえる。 / Change sampling method.","サンプリング","さんぷりんぐ","sampling","サンプリングででーたをへらします。","さんぷりんぐででーたをへらします。","We'll reduce data via sampling.","サンプリングででーたをへらします。","さんぷりんぐででーたをへらします。","Sampling reduces the data size.","サンプリングのわりあいをかえます。","さんぷりんぐのわりあいをかえます。","We'll change the sampling ratio.","05_data_experimentation",""
"05_data_experimentation","分布（ぶんぷ）","distribution<br><b>Example</b>: 分布が変わった。 / ぶんぷがかわった。 / The distribution shifted.","分布","ぶんぷ","distribution","分布をかくにんします。","ぶんぷをかくにんします。","We'll check the distribution.","分布をかくにんします。","ぶんぷをかくにんします。","We'll check the distribution.","分布がずれていないかみます。","ぶんぷがずれていないかみます。","We'll see if the distribution shifted.","05_data_experimentation",""
"05_data_experimentation","データドリフト（でーたどりふと）","data drift<br><b>Example</b>: データドリフトを検知する。 / でーたどりふとをけんちする。 / Detect data drift.","データドリフト","でーたどりふと","data drift","データドリフトをかんしします。","でーたどりふとをかんしします。","We'll monitor data drift.","データドリフトをかんしします。","でーたどりふとをかんしします。","We'll monitor data drift.","データドリフトがあるとせいのうがさがります。","でーたどりふとがあるとせいのうがさがります。","Data drift can reduce performance.","05_data_experimentation",""
"05_data_experimentation","特徴量エンジニアリング（とくちょうりょうえんじにありんぐ）","feature engineering<br><b>Example</b>: 特徴量エンジニアリングを進める。 / とくちょうりょうえんじにありんぐをすすめる。 / Do feature engineering.","特徴量エンジニアリング","とくちょうりょうえんじにありんぐ","feature engineering","特徴量エンジニアリングでせいどをあげます。","とくちょうりょうえんじにありんぐでせいどをあげます。","Feature engineering can improve accuracy.","特徴量エンジニアリングでせいどをあげます。","とくちょうりょうえんじにありんぐでせいどをあげます。","Feature engineering can improve accuracy.","特徴量エンジニアリングのあいであをだします。","とくちょうりょうえんじにありんぐのあいであをだします。","We'll propose feature-engineering ideas.","05_data_experimentation",""
"05_data_experimentation","実験（じっけん）","experiment<br><b>Example</b>: 実験条件をそろえる。 / じっけんじょうけんをそろえる。 / Keep conditions consistent.","実験","じっけん","experiment","実験をくりかえします。","じっけんをくりかえします。","We'll run experiments repeatedly.","実験のじょうけんをそろえます。","じっけんのじょうけんをそろえます。","We'll keep experiment conditions consistent.","実験のけっかをきろくします。","じっけんのけっかをきろくします。","We'll record experiment results.","05_data_experimentation",""
"05_data_experimentation","A/Bテスト（えーびーてすと）","A/B test<br><b>Example</b>: A/Bテストで効果を見る。 / えーびーてすとでこうかをみる。 / Measure impact via A/B test.","A/Bテスト","えーびーてすと","A/B test","A/Bテストをします。","えーびーてすとをします。","We'll run an A/B test.","A/Bテストをまわします。","えーびーてすとをまわします。","We'll run an A/B test.","A/Bテストのきかんをきめます。","えーびーてすとのきかんをきめます。","We'll decide the A/B test duration.","05_data_experimentation",""
"05_data_experimentation","対照群（たいしょうぐん）","control group<br><b>Example</b>: 対照群と比較する。 / たいしょうぐんとひかくする。 / Compare to control.","対照群","たいしょうぐん","control group","対照群をよういします。","たいしょうぐんをよういします。","We'll prepare a control group.","対照群をよういします。","たいしょうぐんをよういします。","We'll prepare a control group.","対照群とくらべます。","たいしょうぐんとくらべます。","We'll compare against the control.","05_data_experimentation",""
"05_data_experimentation","変数（へんすう）","variable<br><b>Example</b>: 変数を固定する。 / へんすうをこていする。 / Hold variables constant.","変数","へんすう","variable","変数をへんこうします。","へんすうをへんこうします。","We'll change the variables.","変数をふやすとふくざつになります。","へんすうをふやすとふくざつになります。","More variables increase complexity.","変数をていぎします。","へんすうをていぎします。","We'll define the variables.","05_data_experimentation",""
"05_data_experimentation","乱数シード（らんすうしーど）","random seed<br><b>Example</b>: 乱数シードを固定する。 / らんすうしーどをこていする。 / Fix the random seed.","乱数シード","らんすうしーど","random seed","乱数シードをこていします。","らんすうしーどをこていします。","We'll fix the random seed.","乱数シードをこていします。","らんすうしーどをこていします。","We'll fix the random seed.","乱数シードをきろくしてさいげんします。","らんすうしーどをきろくしてさいげんします。","We'll record the random seed to reproduce.","05_data_experimentation",""
"06_mlops_systems","運用（うんよう）","operations<br><b>Example</b>: モデルを運用する。 / もでるをうんようする。 / Operate the model.","運用","うんよう","operations","運用でかんしをつづけます。","うんようでかんしをつづけます。","Operations includes ongoing monitoring.","運用でかんしをつづけます。","うんようでかんしをつづけます。","Operations includes ongoing monitoring.","運用のてじゅんをきろくします。","うんようのてじゅんをきろくします。","We'll document the ops procedure.","06_mlops_systems",""
"06_mlops_systems","本番（ほんばん）","production<br><b>Example</b>: 本番にデプロイする。 / ほんばんにでぷろいする。 / Deploy to production.","本番","ほんばん","production","本番にでぷろいします。","ほんばんにでぷろいします。","We'll deploy to production.","本番にでぷろいします。","ほんばんにでぷろいします。","We'll deploy to production.","本番のえいきょうをみます。","ほんばんのえいきょうをみます。","We'll watch production impact.","06_mlops_systems",""
"06_mlops_systems","検証環境（けんしょうかんきょう）","staging/test environment<br><b>Example</b>: 検証環境で確認する。 / けんしょうかんきょうでかくにんする。 / Verify in staging.","検証環境","けんしょうかんきょう","staging/test environment","検証環境でためします。","けんしょうかんきょうでためします。","We'll test in staging.","検証環境でためします。","けんしょうかんきょうでためします。","We'll test in staging.","検証環境とほんばんをそろえます。","けんしょうかんきょうとほんばんをそろえます。","We'll align staging and production.","06_mlops_systems",""
"06_mlops_systems","デプロイ（でぷろい）","deploy<br><b>Example</b>: 今日デプロイする。 / きょうでぷろいする。 / Deploy today.","デプロイ","でぷろい","deploy","いまデプロイします。","いまでぷろいします。","I'm deploying now.","デプロイをじどうかします。","でぷろいをじどうかします。","We'll automate deployments.","デプロイのあとにけんしょうします。","でぷろいのあとにけんしょうします。","We'll verify after deploy.","06_mlops_systems",""
"06_mlops_systems","ロールバック（ろーるばっく）","rollback<br><b>Example</b>: 問題があればロールバックする。 / もんだいがあればろーるばっくする。 / Roll back if needed.","ロールバック","ろーるばっく","rollback","もんだいがあればロールバックします。","もんだいがあればろーるばっくします。","We'll rollback if there's an issue.","もんだいがあればロールバックします。","もんだいがあればろーるばっくします。","We'll rollback if there's an issue.","ロールバックのてじゅんをよういします。","ろーるばっくのてじゅんをよういします。","We'll prepare a rollback procedure.","06_mlops_systems",""
"06_mlops_systems","監視（かんし）","monitoring<br><b>Example</b>: レイテンシを監視する。 / れいてんしをかんしする。 / Monitor latency.","監視","かんし","monitoring","監視をつよくします。","かんしをつよくします。","We'll strengthen monitoring.","監視であらーとをうけとります。","かんしであらーとをうけとります。","Monitoring triggers alerts.","監視のしきいちをちょうせいします。","かんしのしきいちをちょうせいします。","We'll tune monitoring thresholds.","06_mlops_systems",""
"06_mlops_systems","アラート（あらーと）","alert<br><b>Example</b>: アラートが鳴った。 / あらーとがなった。 / An alert fired.","アラート","あらーと","alert","アラートがなりました。","あらーとがなりました。","An alert fired.","アラートがなったらたいおうします。","あらーとがなったらたいおうします。","We'll respond when an alert fires.","アラートののいずをへらします。","あらーとののいずをへらします。","We'll reduce alert noise.","06_mlops_systems",""
"06_mlops_systems","ログ（ろぐ）","log<br><b>Example</b>: ログを確認する。 / ろぐをかくにんする。 / Check logs.","ログ","ろぐ","log","ログをみます。","ろぐをみます。","We'll check the logs.","ログをみてげんいんをさがします。","ろぐをみてげんいんをさがします。","We'll check logs to find the cause.","ログをほぞんしてさいげんします。","ろぐをほぞんしてさいげんします。","We'll keep logs for reproduction.","06_mlops_systems",""
"06_mlops_systems","障害（しょうがい）","incident / outage<br><b>Example</b>: 障害の原因を特定する。 / しょうがいのげんいんをとくていする。 / Identify the incident cause.","障害","しょうがい","incident / outage","障害がはっせいしました。","しょうがいがはっせいしました。","An outage occurred.","障害がはっせいしました。","しょうがいがはっせいしました。","An outage occurred.","障害のえいきょうはんいをかくにんします。","しょうがいのえいきょうはんいをかくにんします。","We'll confirm the outage blast radius.","06_mlops_systems",""
"06_mlops_systems","対応（たいおう）","response / handling<br><b>Example</b>: すぐに対応する。 / すぐにたいおうする。 / Respond immediately.","対応","たいおう","response / handling","すぐに対応します。","すぐにたいおうします。","We'll respond immediately.","対応のゆうせんどをきめます。","たいおうのゆうせんどをきめます。","We'll prioritize the response.","対応がしゅうりょうしたらふりかえります。","たいおうがしゅうりょうしたらふりかえります。","After the response we'll do a retrospective.","06_mlops_systems",""
"06_mlops_systems","影響範囲（えいきょうはんい）","impact scope / blast radius<br><b>Example</b>: 影響範囲を確認する。 / えいきょうはんいをかくにんする。 / Check impact scope.","影響範囲","えいきょうはんい","impact scope / blast radius","影響範囲をしらべます。","えいきょうはんいをしらべます。","We'll investigate the blast radius.","影響範囲をしらべます。","えいきょうはんいをしらべます。","We'll investigate the impact scope.","影響範囲をきろくします。","えいきょうはんいをきろくします。","We'll document the blast radius.","06_mlops_systems",""
"06_mlops_systems","再現（さいげん）","reproduce<br><b>Example</b>: バグを再現できた。 / ばぐをさいげんできた。 / Reproduced the bug.","再現","さいげん","reproduce","ばぐを再現します。","ばぐをさいげんします。","We'll reproduce the bug.","ばぐを再現します。","ばぐをさいげんします。","We'll reproduce the bug.","再現のすてっぷをのこします。","さいげんのすてっぷをのこします。","We'll write down repro steps.","06_mlops_systems",""
"06_mlops_systems","切り分け（きりわけ）","triage / isolate<br><b>Example</b>: 原因を切り分ける。 / げんいんをきりわける。 / Isolate the root cause.","切り分け","きりわけ","triage / isolate","まず切り分けをします。","まずきりわけをします。","First, we'll triage.","切り分けでげんいんをしぼります。","きりわけでげんいんをしぼります。","Triage narrows down the cause.","切り分けのけっかをきょうゆうします。","きりわけのけっかをきょうゆうします。","We'll share the triage results.","06_mlops_systems",""
"06_mlops_systems","GPU（じーぴーゆー）","GPU<br><b>Example</b>: GPUで学習を高速化する。 / じーぴーゆーでがくしゅうをこうそくかする。 / Speed up training with GPUs.","GPU","じーぴーゆー","GPU","GPUがたりません。","じーぴーゆーがたりません。","We don't have enough GPUs.","GPUがたりません。","じーぴーゆーがたりません。","We don't have enough GPUs.","GPUをわりあてます。","じーぴーゆーをわりあてます。","We'll allocate GPUs.","06_mlops_systems",""
"06_mlops_systems","API（えーぴーあい）","API<br><b>Example</b>: 推論APIを公開する。 / すいろんえーぴーあいをこうかいする。 / Expose an inference API.","API","えーぴーあい","API","APIをこうかいします。","えーぴーあいをこうかいします。","We'll publish an API.","APIをこうかいします。","えーぴーあいをこうかいします。","We'll publish an API.","APIのれいてんしをはかります。","えーぴーあいのれいてんしをはかります。","We'll measure API latency.","06_mlops_systems",""
"07_project_communication","要件（ようけん）","requirements<br><b>Example</b>: 要件を整理する。 / ようけんをせいりする。 / Organize requirements.","要件","ようけん","requirements","要件をかくにんします。","ようけんをかくにんします。","We'll confirm the requirements.","要件をかくにんします。","ようけんをかくにんします。","We'll confirm the requirements.","要件をぶんしょかします。","ようけんをぶんしょかします。","We'll document the requirements.","07_project_communication",""
"07_project_communication","仕様（しよう）","specification<br><b>Example</b>: 仕様を確認する。 / しようをかくにんする。 / Confirm the spec.","仕様","しよう","specification","仕様をきめます。","しようをきめます。","We'll finalize the specification.","仕様をきめます。","しようをきめます。","We'll finalize the specification.","仕様のへんこうをきろくします。","しようのへんこうをきろくします。","We'll record spec changes.","07_project_communication",""
"07_project_communication","スコープ（すこーぷ）","scope<br><b>Example</b>: スコープを明確にする。 / すこーぷをめいかくにする。 / Clarify scope.","スコープ","すこーぷ","scope","スコープをしぼります。","すこーぷをしぼります。","We'll narrow the scope.","スコープをしぼります。","すこーぷをしぼります。","We'll narrow the scope.","スコープがひろがらないようにします。","すこーぷがひろがらないようにします。","We'll prevent scope creep.","07_project_communication",""
"07_project_communication","期限（きげん）","deadline<br><b>Example</b>: 期限までに出す。 / きげんまでにだす。 / Deliver by the deadline.","期限","きげん","deadline","期限までにおわらせます。","きげんまでにおわらせます。","We'll finish by the deadline.","期限をまもります。","きげんをまもります。","We'll meet the deadline.","期限までにおわるかかくにんします。","きげんまでにおわるかかくにんします。","We'll check if we can finish by the deadline.","07_project_communication",""
"07_project_communication","優先度（ゆうせんど）","priority<br><b>Example</b>: 優先度を上げる。 / ゆうせんどをあげる。 / Raise priority.","優先度","ゆうせんど","priority","優先度をつけます。","ゆうせんどをつけます。","We'll set priorities.","優先度をつけます。","ゆうせんどをつけます。","We'll set priorities.","優先度がたかいものからやります。","ゆうせんどがたかいものからやります。","We'll start with the highest priority.","07_project_communication",""
"07_project_communication","見積もり（みつもり）","estimate<br><b>Example</b>: 工数を見積もる。 / こうすうをみつもる。 / Estimate effort.","見積もり","みつもり","estimate","見積もりをだします。","みつもりをだします。","We'll provide an estimate.","見積もりをだします。","みつもりをだします。","We'll provide an estimate.","見積もりをみなおします。","みつもりをみなおします。","We'll revisit the estimate.","07_project_communication",""
"07_project_communication","進捗（しんちょく）","progress<br><b>Example</b>: 進捗を共有する。 / しんちょくをきょうゆうする。 / Share progress.","進捗","しんちょく","progress","進捗をきょうゆうします。","しんちょくをきょうゆうします。","We'll share progress.","進捗をきょうゆうします。","しんちょくをきょうゆうします。","We'll share progress.","進捗がおくれています。","しんちょくがおくれています。","Progress is behind.","07_project_communication",""
"07_project_communication","課題（かだい）","issue / challenge<br><b>Example</b>: 課題を洗い出す。 / かだいをあらいだす。 / List the issues.","課題","かだい","issue / challenge","課題をりすとにします。","かだいをりすとにします。","We'll list the issues.","課題をりすとあっぷします。","かだいをりすとあっぷします。","We'll list the issues.","課題のたいおうほうほうをきめます。","かだいのたいおうほうほうをきめます。","We'll decide how to address the issue.","07_project_communication",""
"07_project_communication","方針（ほうしん）","policy / approach<br><b>Example</b>: 方針を決める。 / ほうしんをきめる。 / Decide the approach.","方針","ほうしん","policy / approach","方針をきめます。","ほうしんをきめます。","We'll decide the approach.","方針をきめます。","ほうしんをきめます。","We'll decide the approach.","方針をぶれずにすすめます。","ほうしんをぶれずにすすめます。","We'll proceed consistently with the approach.","07_project_communication",""
"07_project_communication","合意（ごうい）","agreement / alignment<br><b>Example</b>: 関係者と合意する。 / かんけいしゃとごういする。 / Align with stakeholders.","合意","ごうい","agreement / alignment","合意をとります。","ごういをとります。","We'll get alignment.","合意をとります。","ごういをとります。","We'll get alignment.","合意できたらすすめます。","ごういできたらすすめます。","Once we agree we'll move forward.","07_project_communication",""
"08_cv_vision","画像処理（がぞうしょり）","image processing<br><b>Example</b>: 画像処理のパイプラインを作る。 / がぞうしょりのぱいぷらいんをつくる。 / Build an image-processing pipeline.","画像処理","がぞうしょり","image processing","画像処理でのいずをへらします。","がぞうしょりでのいずをへらします。","Image processing reduces noise.","画像処理でのいずをへらします。","がぞうしょりでのいずをへらします。","Image processing reduces noise.","画像処理のぱいぷらいんをくみます。","がぞうしょりのぱいぷらいんをくみます。","We'll build an image-processing pipeline.","08_cv_vision",""
"08_cv_vision","画像認識（がぞうにんしき）","image recognition<br><b>Example</b>: 画像認識モデルを評価する。 / がぞうにんしきもでるをひょうかする。 / Evaluate an image recognition model.","画像認識","がぞうにんしき","image recognition","画像認識でらべるをよそくします。","がぞうにんしきでらべるをよそくします。","Image recognition predicts labels.","画像認識でらべるをよそくします。","がぞうにんしきでらべるをよそくします。","Image recognition predicts labels.","画像認識のせいどをひょうかします。","がぞうにんしきのせいどをひょうかします。","We'll evaluate image-recognition accuracy.","08_cv_vision",""
"08_cv_vision","物体検出（ぶったいけんしゅつ）","object detection<br><b>Example</b>: 物体検出の精度を改善する。 / ぶったいけんしゅつのせいどをかいぜんする。 / Improve detection accuracy.","物体検出","ぶったいけんしゅつ","object detection","物体検出でひとをみつけます。","ぶったいけんしゅつでひとをみつけます。","Object detection finds people.","物体検出でひとをみつけます。","ぶったいけんしゅつでひとをみつけます。","Object detection finds people.","物体検出のしきいちをちょうせいします。","ぶったいけんしゅつのしきいちをちょうせいします。","We'll tune the detection threshold.","08_cv_vision",""
"08_cv_vision","セグメンテーション（せぐめんてーしょん）","segmentation<br><b>Example</b>: セグメンテーションを導入する。 / せぐめんてーしょんをどうにゅうする。 / Introduce segmentation.","セグメンテーション","せぐめんてーしょん","segmentation","セグメンテーションでりょういきをわけます。","せぐめんてーしょんでりょういきをわけます。","Segmentation separates regions.","セグメンテーションでりょういきをぬりわけます。","せぐめんてーしょんでりょういきをぬりわけます。","Segmentation separates regions.","セグメンテーションのまくすくをかくにんします。","せぐめんてーしょんのまくすくをかくにんします。","We'll check the segmentation mask.","08_cv_vision",""
"08_cv_vision","インスタンス分割（いんすたんすぶんかつ）","instance segmentation<br><b>Example</b>: インスタンス分割で個体を分ける。 / いんすたんすぶんかつでこたいをわける。 / Separate instances with instance segmentation.","インスタンス分割","いんすたんすぶんかつ","instance segmentation","インスタンス分割でこたいごとにわけます。","いんすたんすぶんかつでこたいごとにわけます。","Instance segmentation separates each object.","インスタンス分割でこたいごとにわけます。","いんすたんすぶんかつでこたいごとにわけます。","Instance segmentation separates each object.","インスタンス分割のけっかをかくにんします。","いんすたんすぶんかつのけっかをかくにんします。","We'll review the instance-segmentation results.","08_cv_vision",""
