"Deck","Japanese","Example2_JP","Example2_Hiragana","Example2_EN","Example3_JP","Example3_Hiragana","Example3_EN"
"10_security_privacy","削除","たいおうがすんだらでーたを削除します。","","Once handled, we delete the data.","削除のけっかをろぐにのこします。","","We'll log deletions."
"10_security_privacy","同意","あっぷでーとしたないようで同意をとりなおします。","","We re-collect consent for the updated terms.","同意のぶんしょうをみなおします。","","We'll review the consent text."
"10_security_privacy","目的外利用","このでーたの目的外利用はきんしです。","","Using this data outside its purpose is prohibited.","目的外利用をふせぐるーるをきめます。","","We'll set rules to prevent misuse."
"10_security_privacy","インシデント","インシデントはすぐにえすかれーとします。","","We escalate incidents immediately.","インシデントたいおうをれんしゅうします。","","We'll practice incident response."
"10_security_privacy","対策","れんぞくしこうにはれーとりみっとで対策します。","","We mitigate repeated attempts with rate limiting.","対策のゆうせんどをきめます。","","We'll prioritize mitigations."

"11_meeting_phrases","共有します","すらいどを共有します。","","I’ll share the slides.","いま共有します。すこしまってください。","","I’ll share now. Please wait a moment."
"11_meeting_phrases","確認します","あとで確認します。","","I’ll check after this.","確認します。5ふんください。","","I’ll check. Give me five minutes."
"11_meeting_phrases","相談させてください","すこし相談させてください。いまよろしいですか？","","Could I consult with you for a moment—now okay?","あとで相談させてください。じかんをください。","","Let me discuss it later. Please give me time."
"11_meeting_phrases","念のため","念のため、ろぐをみます。","","just in case, I’ll check the logs.","念のため、すくりーんしょっとをとります。","","just in case, I’ll take a screenshot."
"11_meeting_phrases","結論から言うと","結論から言うと、まだむずかしいです。","","Bottom line, it’s still difficult.","結論から言うと、えんきです。","","Bottom line, we delay."
"11_meeting_phrases","〜でよろしいでしょうか","このすけじゅーるでよろしいでしょうか。","このすけじゅーるでよろしいでしょうか。","Would this schedule be okay?","このすすめかたでよろしいでしょうか。","このすすめかたでよろしいでしょうか。","Is this approach okay?"
"11_meeting_phrases","〜という認識です","こちらとしては、そのほうこうだという認識です。","こちらとしては、そのほうこうだというにんしきです。","From our side, that's our understanding.","わたしはそういうにんしきです。","わたしはそういうにんしきです。","That’s how I understand it."
"11_meeting_phrases","認識合わせ","みすをふせぐために認識合わせしたいです。","","I'd like to align our understanding to prevent mistakes.","まず認識合わせからはじめます。","","Let’s start with alignment."
"11_meeting_phrases","方向性","方向性をきめます。","","We’ll decide the direction.","方向性があっているかかくにんします。","","We’ll confirm we’re aligned on direction."
"11_meeting_phrases","方針","方針をきめます。","","We’ll decide the approach.","方針をかえないですすめます。","","We’ll proceed without changing the approach."
"11_meeting_phrases","優先度","このたすくの優先度はどちらがたかいですか？","","Which task has higher priority?","優先度がたかいものからやります。","","We’ll start with the highest priority."
"11_meeting_phrases","いったん","いったん、かくにんしてからへんじします。","","For now, I'll check and then reply.","いったん、あとでつづけます。","","For now, we’ll continue later."
"11_meeting_phrases","差し戻し","しつもんがあるので差し戻しします。","","I'll send it back for rework since I have questions.","差し戻しのりゆうをおしえてください。","","Please tell me why it was sent back."
"11_meeting_phrases","追加で","追加で、さんこうりんくをおくります。","","Additionally, I'll send a reference link.","追加で、めもをおくります。","","Additionally, I’ll send a note."
"11_meeting_phrases","影響ありますか","このへんこう、ぱふぉーまんすに影響ありますか？","","Does this change impact performance?","影響ありますか？あるならおしえてください。","","Any impact? If so, let me know."
"11_meeting_phrases","切り分けます","こちらで切り分けますので、さいげんじょうほうをください。","","I'll triage, so please share reproduction details.","切り分けますので、ろぐをください。","","I’ll triage, so please share logs."
"11_meeting_phrases","根拠は","そのけっかの根拠はなにですか？","","What's the basis for that result?","根拠はどこですか？","","Where’s the evidence?"
"11_meeting_phrases","検討します","検討します。あとでかいとうします。","","We’ll consider it and reply later.","検討しますが、じかんがひつようです。","","We’ll consider it, but we need time."
"11_meeting_phrases","持ち帰ります","いったん持ち帰ります。かくにんしてかられんらくします。","","I'll take it back, verify, and get back to you.","持ち帰ります。あしたまでにかいとうします。","","I’ll take it back and reply by tomorrow."
"11_meeting_phrases","宿題","きょうの宿題は、しりょうをよむことです。","","Today's action item is to read the document.","宿題をりすとにまとめます。","","We’ll list the action items."
"11_meeting_phrases","次回までに","次回までに、しゅうせいあんをおくります。","","By next time, I'll send a revised proposal.","次回までにけっかをきょうゆうします。","","I’ll share results by next time."
"11_meeting_phrases","予定通り","きょうは予定通りにおわります。","","We'll finish as planned today.","予定通りでだいじょうぶです。","","As planned is fine."
"11_meeting_phrases","前倒し","前倒しでやります。","","We’ll move it earlier.","前倒しできそうです。","","It looks like we can move it earlier."
"11_meeting_phrases","後ろ倒し","後ろ倒しにします。","","We’ll push it back.","後ろ倒ししてもいいですか？","","Is it okay to push it back?"
"11_meeting_phrases","すり合わせ","すり合わせのために15ふんだけください。","","Can you spare 15 minutes to align?","すり合わせのじかんをとります。","","We’ll set time to align."
"11_meeting_phrases","調整します","調整します。すこしまってください。","","I’ll adjust. Please wait.","調整しますが、けっかはあとでです。","","I’ll adjust, but results come later."
"11_meeting_phrases","まずは","まずは、かんたんにせつめいします。","","First, I’ll explain briefly.","まずは、ここまでにします。","","First, we’ll stop here."
"11_meeting_phrases","もし可能なら","もし可能なら、あさまでにれびゅーをおねがいします。","","If possible, please review by morning.","もし可能なら、べつあんもください。","","If possible, share an alternative too."
"11_meeting_phrases","〜で問題ないです","これで問題ないです。","これでもんだいないです。","It’s fine.","そのほうほうで問題ないです。","そのほうほうでもんだいないです。","That approach is fine."
